관리번호,설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,상세위치,관리기관명,관리기관전화번호,데이터기준일자
166,다산동,서울특별시,중구,서울특별시 중구 동호로11차길 18,서울특별시 중구 신당동 432-1882,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
167,약수동,서울특별시,중구,서울특별시 중구 동호로8다길 27,서울특별시 중구 신당동 349-135,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
168,약수동,서울특별시,중구,서울특별시 중구 동호로8다길 22,서울특별시 중구 신당동 349-234,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
169,약수동,서울특별시,중구,서울특별시 중구 동호로8길 50,서울특별시 중구 신당동 349-228,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
170,약수동,서울특별시,중구,서울특별시 중구 동호로8가길 48,서울특별시 중구 신당동 346-427,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
171,약수동,서울특별시,중구,서울특별시 중구 동호로8가길 27,서울특별시 중구 신당동 349-135,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
172,약수동,서울특별시,중구,서울특별시 중구 다산로22길 61,서울특별시 중구 신당동 333-297,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
173,청구동,서울특별시,중구,서울특별시 중구 청구로1길 10,서울특별시 중구 신당동 289-155,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
174,청구동,서울특별시,중구,서울특별시 중구 청구로1길 30,서울특별시 중구 신당동 326-22,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
175,청구동,서울특별시,중구,서울특별시 중구 다산로16길 26,서울특별시 중구 신당동 340-25,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
176,청구동,서울특별시,중구,서울특별시 중구 다산로14길 43-11,서울특별시 중구 신당동 346-655,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
177,청구동,서울특별시,중구,서울특별시 중구 청구로3길 15-1,서울특별시 중구 신당동 321-33,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
178,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88나길 12,서울특별시 중구 신당동 67-83,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
179,신당5동,서울특별시,중구,서울특별시 중구 퇴계로90길 85,서울특별시 중구 신당동 80-127,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
180,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88가길 52-16,서울특별시 중구 신당동 160-22,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
181,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88가길 59,서울특별시 중구 신당동 163-14,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
182,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88나길 30,서울특별시 중구 신당동 67-129,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
183,동화동,서울특별시,중구,서울특별시 중구 다산로38길 5,서울특별시 중구 신당동102-7,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
184,청구동,서울특별시,중구,서울특별시 중구 다산로24길 91,서울특별시 중구 신당동 333-179,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
